socio economic group,,
1,gardening,2019-11-21 22:12
2,dyeing,2019-11-21 22:12
3,soap-making,2019-11-21 22:12
4,commercial fruit,2019-11-21 22:12
5,"tree plantations (mango, banana, orange, cashew)",2019-11-21 22:12
6,"commercial forest tree plantations (melina, etc.)",2019-11-21 22:12
7,hands craft,2019-11-21 22:12
8,beekeeping,2019-11-21 22:12
9,commercialization of wild fruits,2019-11-21 22:12
10,commercial nursery,2019-11-21 22:12
11,"community farming (groundnuts, early millet, sesame)",2019-11-21 22:12
12,others,2019-11-21 22:12
